State,County,Soil_Texture,Soil_pH,Organic_Matter(%),Soil_Depth(cm),Drainage_Class
COLORADO,BOULDER,Clay,7.09,2.66,125,Moderately Drained
COLORADO,LARIMER,Sandy Loam,6.09,3.06,75,Well Drained
COLORADO,LOGAN,Sandy Loam,7.32,4.61,100,Well Drained
COLORADO,MORGAN,Silt,7.44,4.56,50,Poorly Drained
COLORADO,SEDGWICK,Sandy Loam,5.87,4.27,125,Well Drained
COLORADO,WELD,Silt,6.42,3.04,125,Well Drained
COLORADO,BENT,Sandy Loam,5.5,3.94,75,Moderately Drained
COLORADO,PROWERS,Loam,6.7,3.05,50,Well Drained
COLORADO,PUEBLO,Sandy Loam,6.71,4.48,100,Poorly Drained
COLORADO,DELTA,Silt,6.0,2.61,75,Poorly Drained
DELAWARE,KENT,Silt,6.62,4.88,50,Poorly Drained
DELAWARE,NEW CASTLE,Clay,5.95,4.73,75,Well Drained
DELAWARE,SUSSEX,Loam,5.82,3.97,75,Moderately Drained
GEORGIA,OTHER COUNTIES,Sandy Loam,6.8,2.12,75,Poorly Drained
GEORGIA,JOHNSON,Clay,6.15,1.53,75,Well Drained
GEORGIA,LAURENS,Sandy Loam,6.68,4.42,75,Poorly Drained
GEORGIA,WASHINGTON,Sandy Loam,6.37,1.66,75,Poorly Drained
GEORGIA,BULLOCH,Clay,7.47,4.42,75,Moderately Drained
GEORGIA,BURKE,Clay,5.8,2.96,100,Poorly Drained
GEORGIA,EMANUEL,Clay,6.43,2.63,125,Moderately Drained
GEORGIA,JEFFERSON,Clay,6.86,4.61,100,Well Drained
GEORGIA,JENKINS,Clay,6.29,3.42,75,Poorly Drained
GEORGIA,SCREVEN,Sandy Loam,7.45,3.31,75,Well Drained
GEORGIA,HALL,Clay,6.94,3.24,100,Well Drained
GEORGIA,WALTON,Loam,6.81,2.48,100,Well Drained
GEORGIA,BANKS,Silt,7.01,4.14,125,Poorly Drained
GEORGIA,FRANKLIN,Clay,7.41,2.01,100,Moderately Drained
GEORGIA,RABUN,Clay,7.32,4.76,125,Poorly Drained
GEORGIA,FLOYD,Sandy Loam,6.95,4.58,75,Well Drained
GEORGIA,GORDON,Clay,7.0,2.35,50,Moderately Drained
GEORGIA,WALKER,Clay,5.79,3.92,50,Well Drained
GEORGIA,BERRIEN,Clay,5.71,3.29,50,Moderately Drained
GEORGIA,BROOKS,Sandy Loam,6.64,2.35,50,Poorly Drained
GEORGIA,COFFEE,Clay,5.54,4.95,75,Moderately Drained
GEORGIA,COLQUITT,Silt,6.46,1.1,50,Poorly Drained
GEORGIA,COOK,Sandy Loam,5.92,2.01,100,Well Drained
GEORGIA,IRWIN,Silt,6.19,3.08,100,Moderately Drained
GEORGIA,JEFF DAVIS,Sandy Loam,7.05,3.09,50,Well Drained
GEORGIA,LOWNDES,Clay,7.38,3.36,100,Moderately Drained
GEORGIA,TIFT,Silt,5.64,4.01,125,Poorly Drained
GEORGIA,TURNER,Sandy Loam,6.57,3.49,75,Moderately Drained
GEORGIA,WILCOX,Loam,7.27,3.4,50,Moderately Drained
GEORGIA,WORTH,Clay,5.67,1.21,50,Poorly Drained
GEORGIA,PIERCE,Sandy Loam,7.15,2.51,75,Poorly Drained
GEORGIA,TATTNALL,Loam,6.22,1.93,100,Poorly Drained
GEORGIA,WARE,Sandy Loam,6.14,2.06,75,Moderately Drained
GEORGIA,BAKER,Loam,7.45,3.22,75,Well Drained
GEORGIA,CALHOUN,Clay,5.9,1.8,100,Moderately Drained
GEORGIA,CLAY,Silt,6.89,2.18,75,Moderately Drained
GEORGIA,EARLY,Loam,7.14,1.95,100,Well Drained
GEORGIA,GRADY,Sandy Loam,5.58,4.79,100,Poorly Drained
GEORGIA,MILLER,Clay,6.84,4.78,75,Moderately Drained
GEORGIA,RANDOLPH,Loam,7.4,3.44,125,Well Drained
GEORGIA,SUMTER,Sandy Loam,5.75,4.7,100,Poorly Drained
GEORGIA,TERRELL,Sandy Loam,7.29,4.14,75,Poorly Drained
GEORGIA,THOMAS,Sandy Loam,6.69,3.36,100,Moderately Drained
GEORGIA,MACON,Loam,6.73,1.03,125,Poorly Drained
GEORGIA,TAYLOR,Loam,6.73,4.09,125,Poorly Drained
IDAHO,OTHER COUNTIES,Loam,6.1,3.81,50,Well Drained
IDAHO,BINGHAM,Silt,7.37,3.46,100,Well Drained
IDAHO,FRANKLIN,Loam,7.39,4.04,100,Poorly Drained
IDAHO,POWER,Loam,6.75,3.05,75,Well Drained
IDAHO,GOODING,Loam,7.07,3.82,100,Poorly Drained
IDAHO,LINCOLN,Silt,6.72,4.74,50,Moderately Drained
IDAHO,TWIN FALLS,Loam,6.47,2.5,125,Well Drained
IDAHO,CANYON,Sandy Loam,6.82,3.83,125,Poorly Drained
IDAHO,GEM,Loam,6.61,2.9,50,Poorly Drained
IDAHO,OWYHEE,Sandy Loam,6.69,3.7,100,Well Drained
IDAHO,PAYETTE,Sandy Loam,7.07,4.05,100,Well Drained
IDAHO,WASHINGTON,Sandy Loam,6.46,1.18,50,Moderately Drained
ILLINOIS,OTHER COUNTIES,Silt,5.58,3.59,75,Poorly Drained
ILLINOIS,LOGAN,Silt,5.83,1.91,125,Moderately Drained
ILLINOIS,MACON,Silt,6.38,3.68,50,Moderately Drained
ILLINOIS,MASON,Loam,6.95,2.87,50,Moderately Drained
ILLINOIS,MCLEAN,Sandy Loam,6.69,4.09,100,Well Drained
ILLINOIS,MENARD,Silt,6.8,1.49,125,Moderately Drained
ILLINOIS,PEORIA,Silt,6.46,3.51,100,Well Drained
ILLINOIS,STARK,Loam,6.73,2.11,50,Well Drained
ILLINOIS,TAZEWELL,Silt,6.16,4.41,75,Moderately Drained
ILLINOIS,WOODFORD,Loam,6.44,4.71,125,Moderately Drained
ILLINOIS,CHAMPAIGN,Clay,6.99,4.99,50,Poorly Drained
ILLINOIS,FORD,Silt,7.24,4.18,50,Moderately Drained
ILLINOIS,IROQUOIS,Clay,6.37,4.01,75,Poorly Drained
ILLINOIS,KANKAKEE,Loam,5.59,1.86,50,Moderately Drained
ILLINOIS,LIVINGSTON,Sandy Loam,5.82,2.34,50,Moderately Drained
ILLINOIS,PIATT,Silt,5.54,2.86,125,Moderately Drained
ILLINOIS,VERMILION,Loam,6.81,4.09,125,Moderately Drained
ILLINOIS,CLARK,Sandy Loam,6.16,4.66,125,Poorly Drained
ILLINOIS,CLAY,Sandy Loam,6.58,1.76,100,Poorly Drained
ILLINOIS,COLES,Clay,6.49,4.69,75,Moderately Drained
ILLINOIS,CRAWFORD,Loam,5.66,3.78,125,Moderately Drained
ILLINOIS,CUMBERLAND,Sandy Loam,6.31,3.44,100,Poorly Drained
ILLINOIS,DOUGLAS,Silt,5.94,1.8,100,Well Drained
ILLINOIS,EDGAR,Silt,6.34,1.22,75,Well Drained
ILLINOIS,EFFINGHAM,Clay,5.91,3.27,75,Well Drained
ILLINOIS,FAYETTE,Sandy Loam,7.18,3.61,50,Poorly Drained
ILLINOIS,JASPER,Loam,5.85,1.84,100,Poorly Drained
ILLINOIS,LAWRENCE,Silt,7.42,3.23,125,Well Drained
ILLINOIS,MARION,Sandy Loam,6.33,4.43,75,Well Drained
ILLINOIS,MOULTRIE,Sandy Loam,7.19,4.34,100,Moderately Drained
ILLINOIS,RICHLAND,Clay,6.76,4.71,125,Poorly Drained
ILLINOIS,SHELBY,Silt,6.97,2.46,100,Poorly Drained
ILLINOIS,BOONE,Silt,7.04,2.27,75,Well Drained
ILLINOIS,DE KALB,Loam,6.51,4.0,50,Well Drained
ILLINOIS,KANE,Silt,6.59,2.72,100,Poorly Drained
ILLINOIS,KENDALL,Loam,6.53,1.35,125,Moderately Drained
ILLINOIS,LA SALLE,Silt,6.68,2.13,75,Well Drained
ILLINOIS,LAKE,Clay,5.56,2.67,50,Poorly Drained
ILLINOIS,WILL,Silt,6.29,2.17,125,Poorly Drained
ILLINOIS,BUREAU,Loam,6.71,2.33,125,Moderately Drained
ILLINOIS,CARROLL,Loam,6.7,2.18,125,Moderately Drained
ILLINOIS,HENRY,Clay,7.09,1.17,100,Well Drained
ILLINOIS,JO DAVIESS,Silt,6.81,3.55,75,Well Drained
ILLINOIS,LEE,Silt,7.48,3.39,125,Well Drained
ILLINOIS,MERCER,Clay,6.07,3.61,100,Poorly Drained
ILLINOIS,OGLE,Silt,6.22,1.77,75,Well Drained
ILLINOIS,PUTNAM,Silt,6.27,2.18,75,Poorly Drained
ILLINOIS,ROCK ISLAND,Loam,6.43,3.48,100,Well Drained
ILLINOIS,STEPHENSON,Silt,7.17,3.4,100,Moderately Drained
ILLINOIS,WHITESIDE,Silt,5.97,3.03,125,Moderately Drained
ILLINOIS,WINNEBAGO,Clay,7.05,2.4,75,Poorly Drained
ILLINOIS,EDWARDS,Clay,6.31,4.65,50,Moderately Drained
ILLINOIS,FRANKLIN,Sandy Loam,6.7,2.36,100,Poorly Drained
ILLINOIS,JEFFERSON,Loam,6.77,2.82,75,Poorly Drained
ILLINOIS,MASSAC,Silt,6.25,3.71,75,Moderately Drained
ILLINOIS,POPE,Silt,6.53,3.17,125,Poorly Drained
ILLINOIS,SALINE,Sandy Loam,6.33,2.39,50,Moderately Drained
ILLINOIS,WABASH,Silt,5.64,2.74,125,Well Drained
ILLINOIS,WAYNE,Loam,6.37,4.18,50,Well Drained
ILLINOIS,WHITE,Sandy Loam,5.69,2.11,50,Moderately Drained
ILLINOIS,CLINTON,Loam,6.31,1.57,100,Moderately Drained
ILLINOIS,JACKSON,Sandy Loam,6.69,2.25,75,Moderately Drained
ILLINOIS,JOHNSON,Sandy Loam,6.66,4.4,75,Moderately Drained
ILLINOIS,MONROE,Clay,6.83,1.36,75,Well Drained
ILLINOIS,PERRY,Loam,5.69,4.97,50,Poorly Drained
ILLINOIS,PULASKI,Silt,6.8,3.16,75,Poorly Drained
ILLINOIS,RANDOLPH,Silt,6.12,4.94,100,Well Drained
ILLINOIS,ST CLAIR,Loam,6.3,4.76,50,Poorly Drained
ILLINOIS,UNION,Silt,7.22,2.81,50,Well Drained
ILLINOIS,WASHINGTON,Silt,5.52,1.79,50,Poorly Drained
ILLINOIS,WILLIAMSON,Loam,6.68,1.66,50,Moderately Drained
ILLINOIS,ADAMS,Sandy Loam,6.7,1.96,100,Moderately Drained
ILLINOIS,BROWN,Loam,6.29,3.84,75,Moderately Drained
ILLINOIS,FULTON,Sandy Loam,5.97,2.09,100,Well Drained
ILLINOIS,HANCOCK,Silt,5.97,2.37,75,Well Drained
ILLINOIS,HENDERSON,Silt,7.27,2.8,100,Poorly Drained
ILLINOIS,KNOX,Silt,6.38,4.65,125,Poorly Drained
ILLINOIS,MCDONOUGH,Clay,6.16,1.76,125,Poorly Drained
ILLINOIS,SCHUYLER,Sandy Loam,6.4,1.02,125,Well Drained
ILLINOIS,BOND,Clay,6.84,1.24,125,Poorly Drained
ILLINOIS,CALHOUN,Clay,5.79,4.62,50,Moderately Drained
ILLINOIS,CASS,Loam,6.4,3.59,50,Poorly Drained
ILLINOIS,CHRISTIAN,Clay,6.68,2.09,100,Moderately Drained
ILLINOIS,GREENE,Loam,7.4,1.71,100,Well Drained
ILLINOIS,JERSEY,Loam,6.01,2.18,125,Moderately Drained
ILLINOIS,MACOUPIN,Clay,6.22,1.46,75,Moderately Drained
ILLINOIS,MADISON,Sandy Loam,6.26,4.77,125,Moderately Drained
ILLINOIS,MONTGOMERY,Sandy Loam,6.71,4.14,100,Well Drained
ILLINOIS,MORGAN,Sandy Loam,6.21,2.85,125,Well Drained
ILLINOIS,PIKE,Sandy Loam,6.57,4.46,100,Well Drained
ILLINOIS,SANGAMON,Sandy Loam,7.06,2.0,125,Well Drained
ILLINOIS,SCOTT,Clay,6.91,3.87,75,Poorly Drained
INDIANA,OTHER COUNTIES,Clay,6.39,4.42,125,Well Drained
INDIANA,BARTHOLOMEW,Silt,7.23,2.43,75,Moderately Drained
INDIANA,BOONE,Sandy Loam,6.62,4.03,75,Well Drained
INDIANA,CLINTON,Clay,6.58,2.18,100,Poorly Drained
INDIANA,DECATUR,Silt,5.57,2.2,75,Poorly Drained
INDIANA,GRANT,Sandy Loam,7.47,1.43,50,Poorly Drained
INDIANA,HAMILTON,Loam,5.75,2.76,50,Moderately Drained
INDIANA,HANCOCK,Silt,5.96,3.92,50,Well Drained
INDIANA,HENDRICKS,Clay,5.6,4.76,100,Well Drained
INDIANA,HOWARD,Loam,6.78,3.42,50,Well Drained
INDIANA,JOHNSON,Loam,5.95,4.45,100,Moderately Drained
INDIANA,MADISON,Loam,5.86,4.29,100,Moderately Drained
INDIANA,MARION,Silt,5.68,1.69,50,Poorly Drained
INDIANA,MORGAN,Clay,5.71,2.94,75,Poorly Drained
INDIANA,RUSH,Loam,6.67,1.47,125,Well Drained
INDIANA,SHELBY,Sandy Loam,6.88,3.73,100,Moderately Drained
INDIANA,TIPTON,Loam,6.29,4.8,50,Moderately Drained
INDIANA,BLACKFORD,Loam,6.46,1.55,100,Well Drained
INDIANA,DELAWARE,Silt,6.87,3.94,75,Well Drained
INDIANA,FAYETTE,Silt,5.53,3.53,75,Poorly Drained
INDIANA,HENRY,Clay,6.15,3.33,50,Poorly Drained
INDIANA,JAY,Sandy Loam,7.45,2.56,100,Poorly Drained
INDIANA,RANDOLPH,Silt,6.66,2.42,125,Well Drained
INDIANA,UNION,Loam,6.01,1.18,125,Well Drained
INDIANA,WAYNE,Clay,6.54,1.87,100,Poorly Drained
INDIANA,ELKHART,Loam,6.19,1.06,100,Poorly Drained
INDIANA,KOSCIUSKO,Loam,6.56,3.33,100,Moderately Drained
INDIANA,MARSHALL,Silt,5.75,1.42,50,Moderately Drained
INDIANA,MIAMI,Clay,5.77,4.49,75,Poorly Drained
INDIANA,ST. JOSEPH,Sandy Loam,5.79,3.09,125,Poorly Drained
INDIANA,WABASH,Sandy Loam,7.38,3.8,50,Moderately Drained
INDIANA,ADAMS,Silt,6.97,2.64,100,Poorly Drained
INDIANA,ALLEN,Silt,5.82,3.24,100,Moderately Drained
INDIANA,HUNTINGTON,Clay,5.88,4.77,75,Moderately Drained
INDIANA,LAGRANGE,Sandy Loam,6.96,1.33,100,Moderately Drained
INDIANA,NOBLE,Sandy Loam,5.81,2.02,50,Well Drained
INDIANA,STEUBEN,Sandy Loam,5.97,4.12,50,Well Drained
INDIANA,WELLS,Loam,7.43,1.39,75,Poorly Drained
INDIANA,WHITLEY,Sandy Loam,6.01,1.3,50,Moderately Drained
INDIANA,BENTON,Loam,6.82,2.45,125,Well Drained
INDIANA,JASPER,Clay,7.46,1.37,50,Poorly Drained
INDIANA,LA PORTE,Loam,6.25,3.34,50,Poorly Drained
INDIANA,LAKE,Clay,5.54,1.91,50,Poorly Drained
INDIANA,NEWTON,Sandy Loam,5.99,4.58,125,Poorly Drained
INDIANA,PORTER,Sandy Loam,7.16,4.13,100,Poorly Drained
INDIANA,PULASKI,Clay,7.23,3.8,50,Moderately Drained
INDIANA,STARKE,Silt,7.04,3.47,75,Poorly Drained
INDIANA,WHITE,Clay,5.73,4.45,125,Moderately Drained
INDIANA,BROWN,Silt,7.09,1.89,75,Well Drained
INDIANA,HARRISON,Loam,7.34,4.49,50,Poorly Drained
INDIANA,MONROE,Loam,6.7,4.16,75,Well Drained
INDIANA,CLARK,Loam,7.38,3.99,50,Moderately Drained
INDIANA,DEARBORN,Sandy Loam,7.15,3.25,125,Moderately Drained
INDIANA,FRANKLIN,Loam,6.83,1.98,75,Well Drained
INDIANA,JEFFERSON,Silt,6.65,2.69,75,Poorly Drained
INDIANA,JENNINGS,Loam,6.2,4.17,50,Poorly Drained
INDIANA,OHIO,Clay,5.82,1.13,50,Well Drained
INDIANA,RIPLEY,Clay,6.71,4.13,100,Well Drained
INDIANA,SCOTT,Sandy Loam,6.14,1.96,50,Well Drained
INDIANA,SWITZERLAND,Clay,7.23,1.58,50,Poorly Drained
INDIANA,DAVIESS,Silt,7.49,1.46,100,Poorly Drained
INDIANA,GIBSON,Loam,7.0,1.11,50,Poorly Drained
INDIANA,GREENE,Sandy Loam,5.68,3.09,50,Well Drained
INDIANA,KNOX,Loam,6.08,1.87,100,Poorly Drained
INDIANA,PIKE,Loam,5.72,4.96,125,Moderately Drained
INDIANA,POSEY,Silt,6.8,3.3,125,Well Drained
INDIANA,SULLIVAN,Clay,7.03,1.55,50,Poorly Drained
INDIANA,VANDERBURGH,Clay,7.35,3.76,50,Well Drained
INDIANA,WARRICK,Loam,6.38,4.59,100,Moderately Drained
INDIANA,CLAY,Sandy Loam,7.3,3.98,100,Moderately Drained
INDIANA,MONTGOMERY,Clay,7.26,1.31,125,Well Drained
INDIANA,OWEN,Sandy Loam,6.13,4.58,75,Well Drained
INDIANA,PUTNAM,Clay,7.24,4.18,50,Moderately Drained
INDIANA,TIPPECANOE,Sandy Loam,6.25,1.63,75,Well Drained
INDIANA,VIGO,Silt,6.09,1.21,75,Moderately Drained
IOWA,OTHER COUNTIES,Sandy Loam,6.8,3.23,100,Moderately Drained
IOWA,BOONE,Silt,6.16,1.62,50,Poorly Drained
IOWA,DALLAS,Silt,6.76,4.34,50,Well Drained
IOWA,GRUNDY,Sandy Loam,6.72,2.43,100,Well Drained
IOWA,HAMILTON,Silt,6.63,4.65,75,Poorly Drained
IOWA,HARDIN,Loam,6.26,3.26,100,Moderately Drained
IOWA,JASPER,Silt,6.6,1.73,125,Well Drained
IOWA,MARSHALL,Clay,6.69,1.56,50,Poorly Drained
IOWA,POLK,Sandy Loam,6.59,3.31,125,Poorly Drained
IOWA,POWESHIEK,Loam,6.39,4.05,100,Well Drained
IOWA,STORY,Sandy Loam,5.53,4.13,50,Poorly Drained
IOWA,TAMA,Clay,6.67,2.1,125,Moderately Drained
IOWA,WEBSTER,Clay,5.84,1.82,125,Poorly Drained
IOWA,BENTON,Clay,6.79,1.07,75,Moderately Drained
IOWA,CEDAR,Silt,7.02,3.72,50,Moderately Drained
IOWA,CLINTON,Silt,6.5,1.31,125,Well Drained
IOWA,IOWA,Sandy Loam,6.58,2.68,125,Poorly Drained
IOWA,JACKSON,Sandy Loam,7.4,3.41,75,Moderately Drained
IOWA,JOHNSON,Loam,7.19,4.75,125,Moderately Drained
IOWA,JONES,Loam,7.33,2.25,125,Poorly Drained
IOWA,LINN,Sandy Loam,7.13,2.0,125,Moderately Drained
IOWA,MUSCATINE,Silt,5.72,3.62,75,Poorly Drained
IOWA,SCOTT,Clay,5.8,3.48,125,Well Drained
IOWA,BUTLER,Sandy Loam,6.55,2.33,125,Moderately Drained
IOWA,FLOYD,Loam,5.99,4.71,50,Moderately Drained
IOWA,FRANKLIN,Silt,6.45,4.38,50,Poorly Drained
IOWA,HANCOCK,Sandy Loam,6.29,1.9,75,Poorly Drained
IOWA,HUMBOLDT,Sandy Loam,6.6,1.96,100,Poorly Drained
IOWA,MITCHELL,Silt,6.99,3.05,50,Poorly Drained
IOWA,WINNEBAGO,Sandy Loam,6.93,4.09,75,Moderately Drained
IOWA,WORTH,Silt,6.54,1.18,125,Well Drained
IOWA,WRIGHT,Clay,7.14,3.77,125,Well Drained
IOWA,ALLAMAKEE,Silt,6.36,3.59,75,Well Drained
IOWA,BREMER,Silt,7.29,1.93,125,Well Drained
IOWA,BUCHANAN,Silt,5.64,3.73,125,Poorly Drained
IOWA,CHICKASAW,Sandy Loam,7.41,4.76,100,Moderately Drained
IOWA,CLAYTON,Sandy Loam,6.81,1.19,125,Moderately Drained
IOWA,DELAWARE,Silt,6.26,2.28,50,Moderately Drained
IOWA,DUBUQUE,Sandy Loam,5.89,2.75,125,Poorly Drained
IOWA,FAYETTE,Loam,6.46,4.6,75,Moderately Drained
IOWA,HOWARD,Loam,5.89,4.85,100,Poorly Drained
IOWA,WINNESHIEK,Sandy Loam,5.83,2.78,125,Moderately Drained
IOWA,BUENA VISTA,Sandy Loam,6.73,4.0,75,Well Drained
IOWA,CHEROKEE,Silt,6.55,3.13,50,Poorly Drained
IOWA,CLAY,Clay,6.84,3.15,125,Moderately Drained
IOWA,DICKINSON,Sandy Loam,7.36,2.11,100,Well Drained
IOWA,LYON,Loam,6.56,1.87,125,Well Drained
IOWA,O BRIEN,Silt,6.66,2.15,75,Well Drained
IOWA,OSCEOLA,Sandy Loam,5.68,3.23,100,Poorly Drained
IOWA,PALO ALTO,Loam,6.94,1.12,125,Poorly Drained
IOWA,PLYMOUTH,Loam,6.3,4.63,50,Moderately Drained
IOWA,POCAHONTAS,Clay,7.45,1.63,100,Well Drained
IOWA,SIOUX,Silt,7.15,1.88,50,Moderately Drained
IOWA,APPANOOSE,Silt,6.54,3.07,75,Moderately Drained
IOWA,DECATUR,Clay,5.75,3.84,125,Well Drained
IOWA,LUCAS,Clay,7.22,1.38,50,Moderately Drained
IOWA,MADISON,Silt,7.1,2.27,75,Poorly Drained
IOWA,MARION,Silt,5.87,4.87,125,Moderately Drained
IOWA,MONROE,Sandy Loam,6.09,2.05,75,Well Drained
IOWA,UNION,Sandy Loam,7.09,2.25,50,Poorly Drained
IOWA,WARREN,Clay,5.87,4.35,75,Poorly Drained
IOWA,DAVIS,Sandy Loam,7.34,1.2,100,Moderately Drained
IOWA,DES MOINES,Loam,6.35,2.86,125,Moderately Drained
IOWA,HENRY,Sandy Loam,5.67,2.52,75,Poorly Drained
IOWA,JEFFERSON,Sandy Loam,7.13,2.27,50,Moderately Drained
IOWA,KEOKUK,Loam,6.25,2.14,125,Well Drained
IOWA,LEE,Clay,6.55,1.37,100,Moderately Drained
IOWA,MAHASKA,Loam,5.72,2.26,125,Moderately Drained
IOWA,VAN BUREN,Sandy Loam,5.51,1.17,100,Poorly Drained
IOWA,WAPELLO,Clay,6.78,4.12,125,Moderately Drained
IOWA,WASHINGTON,Sandy Loam,6.53,2.59,75,Moderately Drained
IOWA,FREMONT,Loam,6.69,2.78,75,Moderately Drained
IOWA,MILLS,Loam,7.09,4.57,50,Well Drained
IOWA,MONTGOMERY,Sandy Loam,6.79,3.63,100,Moderately Drained
IOWA,PAGE,Silt,5.85,1.03,50,Well Drained
IOWA,POTTAWATTAMIE,Silt,6.22,4.77,75,Well Drained
IOWA,TAYLOR,Loam,7.31,1.95,100,Well Drained
IOWA,AUDUBON,Loam,7.04,1.43,50,Well Drained
